id,geo,suburb,postcode,rent,Monash University - Clayton,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
"(3197, 'Patterson Lakes')","(-38.08, 145.12)",Patterson Lakes,3197,310,21.4 km,29,75,339,TRUE,21.4 km,38.4 km,41,91
"(8002, 'East Melbourne')","(-38.11, 145.15)",East Melbourne,8002,280,21.4 km,50,59,81,TRUE,21.4 km,2.8 km,10,17
"(3121, 'Burnley')","(-37.83, 145.01)",Burnley,3121,340,21.5 km,55,66,73,TRUE,21.5 km,6.3 km,13,26
"(3121, 'Burnley North')","(-37.83, 145.01)",Burnley North,3121,340,21.5 km,106,66,73,TRUE,21.5 km,6.3 km,13,26
"(3126, 'Canterbury')","(-37.84, 145.09)",Canterbury,3126,330,21.6 km,1002,71,78,TRUE,21.6 km,12.2 km,26,36
"(3803, 'Hallam')","(-38.0, 145.27)",Hallam,3803,288,21.6 km,20,61,79,TRUE,21.6 km,40.1 km,38,72
"(8011, 'Little Lonsdale Street')","(-37.81, 144.96)",Little Lonsdale Street,8011,360,21.7 km,412.5140736,49,71,TRUE,21.7 km,0.6 km,8,5
"(3206, 'Middle Park')","(-37.84, 144.96)",Middle Park,3206,300,21.8 km,851,82,95,TRUE,21.8 km,5.6 km,18,30
"(8006, 'Abeckett Street')","(-37.81, 144.96)",Abeckett Street,8006,280,21.9 km,12,52,74,TRUE,21.9 km,0.9 km,10,8
"(3193, 'Black Rock')","(-37.99, 145.03)",Black Rock,3193,340,21.9 km,578,73,64,TRUE,21.9 km,22.2 km,40,59
"(3134, 'Ringwood')","(-37.81, 145.23)",Ringwood,3134,330,21.9 km,662,62,57,TRUE,21.9 km,26.4 km,34,47
"(3109, 'The Pines')","(-37.81, 145.19)",The Pines,3109,340,22.0 km,376,67,75,TRUE,22.0 km,24.6 km,36,54
"(3126, 'Camberwell East')","(-37.84, 145.09)",Camberwell East,3126,330,22.1 km,1002,64,70,TRUE,22.1 km,11.5 km,24,27
"(3000, 'Melbourne')","(-37.81, 144.97)",Melbourne,3000,300,22.2 km,14270,55,65,TRUE,22.2 km,3 m,1,1
"(3122, 'Hawthorn West')","(-37.84, 145.05)",Hawthorn West,3122,350,22.2 km,3899,58,71,TRUE,22.2 km,5.3 km,17,28
"(3065, 'Fitzroy')","(-37.8, 144.98)",Fitzroy,3065,380,22.4 km,1917,67,88,TRUE,22.4 km,3.1 km,15,21
"(3053, 'Carlton South')","(-37.78, 144.97)",Carlton South,3053,255,22.4 km,2227,59,77,TRUE,22.4 km,2.1 km,9,15
"(3103, 'Balwyn East')","(-37.81, 145.08)",Balwyn East,3103,300,22.4 km,11,71,63,TRUE,22.4 km,11.4 km,29,44
"(3103, 'Balwyn')","(-37.81, 145.08)",Balwyn,3103,300,22.4 km,20,71,63,TRUE,22.4 km,11.4 km,29,44
"(3976, 'Hampton Park')","(-38.03, 145.27)",Hampton Park,3976,310,22.4 km,238,70,89,TRUE,22.4 km,41.0 km,41,88
"(3108, 'Doncaster')","(-37.78, 145.12)",Doncaster,3108,340,22.5 km,558,74,67,TRUE,22.5 km,17.7 km,27,44
"(3785, 'Tremont')","(-38.27, 144.49)",Tremont,3785,288,22.5 km,162,96,100,TRUE,22.5 km,40.7 km,55,93
"(3154, 'The Basin')","(-37.85, 145.31)",The Basin,3154,348,22.8 km,1445,83,428,TRUE,22.8 km,38.5 km,48,84
