,id,geo,suburb,postcode,rent,La Trobe University - Bundoora,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
88,"(3185, 'Gardenvale')","(-37.88, 145.0)",Gardenvale,3185,325,10.21620397,250,85,97,TRUE,26.3 km,11.9 km,27,33
89,"(3185, 'Ripponlea')","(-37.88, 145.0)",Ripponlea,3185,295,10.21620397,597,76,88,TRUE,23.5 km,7.8 km,24,36
90,"(3184, 'Elwood')","(-37.88, 145.0)",Elwood,3184,320,10.21620397,4115,81,99,TRUE,23.8 km,9.9 km,25,36
91,"(3184, 'Brighton Road')","(-37.88, 145.0)",Brighton Road,3184,325,10.21620397,974,81,103,TRUE,23.0 km,7.5 km,23,33
92,"(3054, 'Princes Hill')","(-37.78, 144.97)",Princes Hill,3054,320,10.48669452,190,53,48,TRUE,15.8 km,4.7 km,16,27
93,"(3054, 'Carlton North')","(-37.78, 144.97)",Carlton North,3054,320,10.48669452,459,45,40,TRUE,15.2 km,4.7 km,15,22
94,"(3053, 'Carlton South')","(-37.78, 144.97)",Carlton South,3053,255,10.48669452,2227,59,51,TRUE,17.6 km,2.1 km,9,15
95,"(3053, 'Carlton')","(-37.78, 144.97)",Carlton,3053,255,10.48669452,2227,53,47,TRUE,17.2 km,3.2 km,11,19
97,"(3552, 'Bendigo')","(-37.83, 145.01)",Bendigo,3552,288,10.76976291,205,190,207,TRUE,183 km,165 km,117,146
98,"(3121, 'Richmond')","(-37.83, 145.01)",Richmond,3121,340,10.76976291,49,63,77,TRUE,17.6 km,4.0 km,15,21
99,"(3121, 'Richmond South')","(-37.83, 145.01)",Richmond South,3121,350,10.76976291,3899,63,77,TRUE,17.6 km,4.0 km,15,21
100,"(3121, 'Burnley')","(-37.83, 145.01)",Burnley,3121,340,10.76976291,55,73,83,TRUE,19.6 km,6.3 km,13,26
101,"(3121, 'Richmond North')","(-37.83, 145.01)",Richmond North,3121,350,10.76976291,123,871,932,TRUE,"1,012 km",793 km,545,946
102,"(3121, 'Burnley North')","(-37.83, 145.01)",Burnley North,3121,340,10.76976291,106,73,83,TRUE,19.6 km,6.3 km,13,26
103,"(3121, 'Cremorne')","(-37.83, 145.01)",Cremorne,3121,340,10.76976291,91,62,83,TRUE,17.9 km,3.8 km,14,24
104,"(3056, 'Brunswick Lower')","(-37.76, 144.94)",Brunswick Lower,3056,320,10.92920979,2582,69,53,TRUE,15.9 km,4.5 km,17,21
105,"(3056, 'Brunswick North')","(-37.76, 144.94)",Brunswick North,3056,320,10.92920979,2582,64,58,TRUE,15.2 km,7.5 km,23,42
106,"(3056, 'Brunswick')","(-37.76, 144.94)",Brunswick,3056,320,10.92920979,2582,60,50,TRUE,14.2 km,5.9 km,23,28
107,"(3186, 'Brighton')","(-37.91, 144.99)",Brighton,3186,295,11.02454167,723,85,97,TRUE,27.2 km,12.8 km,29,34
