,id,geo,suburb,postcode,rent,Monash University - Caulfield,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
34,"(3147, 'Ashburton')","(-37.86, 145.08)",Ashburton,3147,300,4.156165105,2008,42,29,TRUE,20.4 km,16.0 km,20,45
35,"(3147, 'Ashwood')","(-37.86, 145.08)",Ashwood,3147,300,4.156165105,2008,41,44,TRUE,11.7 km,15.2 km,25,52
36,"(3146, 'Glen Iris')","(-37.85, 145.07)",Glen Iris,3146,300,4.25009834,370,33,27,TRUE,6.7 km,11.2 km,17,34
37,"(3204, 'Mckinnon')","(-37.92, 145.04)",Mckinnon,3204,250,4.447803349,5654,13,13,TRUE,4.6 km,15.3 km,31,41
38,"(3204, 'Bentleigh')","(-37.92, 145.04)",Bentleigh,3204,250,4.447803349,5654,17,17,TRUE,5.5 km,16.2 km,31,44
39,"(3204, 'Ormond')","(-37.92, 145.04)",Ormond,3204,250,4.447803349,795,11,11,TRUE,3.8 km,14.5 km,27,38
41,"(3122, 'Hawthorn')","(-37.84, 145.05)",Hawthorn,3122,350,4.533614653,3899,27,25,TRUE,13.3 km,8.9 km,18,26
42,"(3122, 'Hawthorn West')","(-37.84, 145.05)",Hawthorn West,3122,350,4.533614653,3899,28,26,TRUE,12.4 km,5.3 km,17,28
43,"(3122, 'Hawthorn North')","(-37.84, 145.05)",Hawthorn North,3122,350,4.533614653,3899,27,25,TRUE,13.3 km,8.9 km,18,26
44,"(3144, 'Kooyong')","(-37.84, 145.03)",Kooyong,3144,330,4.533614653,2932,33,27,TRUE,13.5 km,7.8 km,16,25
45,"(3122, 'Glenferrie South')","(-37.84, 145.05)",Glenferrie South,3122,350,4.533614653,3899,30,26,TRUE,6.4 km,7.2 km,17,31
46,"(3122, 'Auburn South')","(-37.84, 145.05)",Auburn South,3122,350,4.533614653,218,14,13,TRUE,4.6 km,10.1 km,17,39
47,"(3144, 'Malvern')","(-37.84, 145.03)",Malvern,3144,330,4.533614653,2932,26,15,TRUE,6.2 km,8.9 km,17,39
48,"(3144, 'Malvern North')","(-37.84, 145.03)",Malvern North,3144,310,4.533614653,781,19,16,TRUE,3.8 km,8.4 km,18,37
50,"(3182, 'St Kilda South')","(-37.87, 144.98)",St Kilda South,3182,348,5.382434563,468,33,32,TRUE,6.0 km,8.2 km,23,38
51,"(3170, 'Waverley Gardens')","(-37.87, 145.1)",Waverley Gardens,3170,340,5.382434563,436,53,52,TRUE,19.0 km,31.2 km,31,79
52,"(3182, 'St Kilda')","(-37.87, 144.98)",St Kilda,3182,330,5.382434563,1303,27,26,TRUE,5.9 km,6.4 km,21,33
53,"(3182, 'St Kilda West')","(-37.87, 144.98)",St Kilda West,3182,348,5.382434563,508,42,39,TRUE,8.0 km,6.6 km,21,32
54,"(3170, 'Mulgrave')","(-37.87, 145.1)",Mulgrave,3170,340,5.382434563,309,49,52,TRUE,17.7 km,29.4 km,32,73
55,"(3186, 'Were Street Po')","(-37.91, 144.99)",Were Street Po,3186,300,5.511559719,555,42,42,TRUE,17.9 km,16.1 km,33,45
57,"(3186, 'Brighton North')","(-37.91, 144.99)",Brighton North,3186,315,5.511559719,784,29,29,TRUE,14.6 km,12.7 km,29,33
58,"(3186, 'Brighton')","(-37.91, 144.99)",Brighton,3186,295,5.511559719,723,29,29,TRUE,14.6 km,12.8 km,29,34
