,id,geo,suburb,postcode,rent,La Trobe University - City,crime,Early_Trans_Time,Night_Trans_Time,nightPT,uni_driving_distance,city_distance,city_driving_time,city_trans_time
122,"(3058, 'Coburg North')","(-37.73, 144.96)",Coburg North,3058,250,8.938926495,738,43,42,TRUE,10.2 km,10.0 km,31,42
126,"(3104, 'Balwyn North')","(-37.79, 145.07)",Balwyn North,3104,338,9.063216988,1307,48,47,TRUE,12.4 km,12.5 km,26,54
127,"(3044, 'Pascoe Vale South')","(-37.73, 144.94)",Pascoe Vale South,3044,310,9.27820638,438,45,42,TRUE,10.0 km,12.0 km,23,41
128,"(3044, 'Pascoe Vale')","(-37.73, 144.94)",Pascoe Vale,3044,250,9.27820638,939,44,45,TRUE,14.3 km,13.4 km,27,43
129,"(3162, 'Caulfield')","(-37.88, 145.03)",Caulfield,3162,300,9.399044757,220,47,52,TRUE,16.2 km,11.7 km,26,53
130,"(3162, 'Hopetoun Gardens')","(-37.88, 145.03)",Hopetoun Gardens,3162,300,9.399044757,52,43,42,TRUE,10.1 km,10.0 km,29,45
131,"(3162, 'Caulfield South')","(-37.88, 145.03)",Caulfield South,3162,300,9.399044757,15,48,47,TRUE,12.5 km,12.5 km,30,50
132,"(3072, 'Northland Centre')","(-37.74, 145.03)",Northland Centre,3072,320,9.401846617,3936,54,47,TRUE,16.8 km,13.6 km,33,46
133,"(3072, 'Preston')","(-37.74, 145.03)",Preston,3072,320,9.401846617,3936,54,51,TRUE,10.9 km,10.7 km,29,53
134,"(3072, 'Preston Lower')","(-37.74, 145.03)",Preston Lower,3072,320,9.401846617,3936,36,34,TRUE,9.1 km,9.1 km,26,39
135,"(3072, 'Preston South')","(-37.74, 145.03)",Preston South,3072,320,9.401846617,3936,54,50,TRUE,10.4 km,11.8 km,29,41
136,"(3072, 'Preston West')","(-37.74, 145.03)",Preston West,3072,320,9.401846617,3936,54,50,TRUE,10.4 km,11.8 km,29,41
137,"(3072, 'Regent West')","(-37.74, 145.03)",Regent West,3072,320,9.401846617,3936,46,43,TRUE,11.5 km,11.5 km,30,47
139,"(3041, 'Essendon North')","(-37.74, 144.91)",Essendon North,3041,300,9.401846617,262,50,48,TRUE,11.5 km,11.4 km,28,49
140,"(3041, 'Strathmore Heights')","(-37.74, 144.91)",Strathmore Heights,3041,300,9.401846617,38,55,50,TRUE,16.4 km,17.3 km,29,55
141,"(3041, 'Strathmore')","(-37.74, 144.91)",Strathmore,3041,300,9.401846617,338,43,38,TRUE,12.3 km,12.2 km,24,58
142,"(3041, 'Essendon Fields')","(-37.74, 144.91)",Essendon Fields,3041,300,9.401846617,174,59,57,TRUE,13.7 km,13.5 km,28,57
143,"(3103, 'Balwyn')","(-37.81, 145.08)",Balwyn,3103,300,9.663439669,20,42,40,TRUE,11.3 km,11.4 km,29,44
144,"(3103, 'Balwyn East')","(-37.81, 145.08)",Balwyn East,3103,300,9.663439669,11,42,40,TRUE,11.3 km,11.4 km,29,44
145,"(3081, 'Bellfield')","(-37.75, 145.05)",Bellfield,3081,330,9.692467954,140,37,43,TRUE,13.8 km,13.8 km,28,40
146,"(3081, 'Heidelberg Heights')","(-37.75, 145.05)",Heidelberg Heights,3081,330,9.692467954,627,49,72,TRUE,16.3 km,15.9 km,31,53
147,"(3081, 'Heidelberg West')","(-37.75, 145.05)",Heidelberg West,3081,330,9.692467954,938,40,62,TRUE,15.3 km,16.4 km,31,55
149,"(3146, 'Glen Iris')","(-37.85, 145.07)",Glen Iris,3146,300,9.844612612,370,33,47,TRUE,11.2 km,11.2 km,17,34
150,"(3145, 'Malvern East')","(-37.88, 145.05)",Malvern East,3145,325,9.917928738,602,41,38,TRUE,12.8 km,13.9 km,21,42
151,"(3145, 'Darling South')","(-37.88, 145.05)",Darling South,3145,325,9.917928738,88,39,37,TRUE,12.4 km,13.7 km,22,36
154,"(3145, 'Wattletree Road Po')","(-37.88, 145.05)",Wattletree Road Po,3145,325,9.917928738,602,43,51,TRUE,11.2 km,11.1 km,19,44
155,"(3145, 'Caulfield East')","(-37.88, 145.05)",Caulfield East,3145,310,9.917928738,781,27,24,TRUE,11.2 km,11.2 km,23,30
156,"(3025, 'Altona North')","(-37.84, 144.86)",Altona North,3025,250,10.22115597,909,45,42,TRUE,14.2 km,15.2 km,30,49
158,"(3025, 'Altona Gate')","(-37.84, 144.86)",Altona Gate,3025,250,10.22115597,909,27,24,TRUE,12.0 km,12.2 km,29,30
159,"(3019, 'Braybrook North')","(-37.78, 144.86)",Braybrook North,3019,280,10.22486724,1510,52,43,TRUE,13.8 km,13.6 km,31,54
160,"(3019, 'Braybrook')","(-37.78, 144.86)",Braybrook,3019,280,10.22486724,1510,42,37,TRUE,11.7 km,11.7 km,31,49
163,"(3187, 'Brighton East')","(-37.9, 145.0)",Brighton East,3187,300,10.34835786,65,62,61,TRUE,15.1 km,15.0 km,31,64
164,"(3012, 'Brooklyn')","(-37.81, 144.85)",Brooklyn,3012,260,10.54193407,344,52,39,TRUE,13.3 km,12.8 km,24,42
165,"(3012, 'Tottenham')","(-37.81, 144.85)",Tottenham,3012,260,10.54193407,114,45,54,TRUE,12.7 km,11.8 km,26,47
166,"(3012, 'West Footscray')","(-37.81, 144.85)",West Footscray,3012,260,10.54193407,754,45,47,TRUE,9.9 km,11.2 km,26,38
167,"(3012, 'Maidstone')","(-37.81, 144.85)",Maidstone,3012,260,10.54193407,944,49,41,TRUE,12.7 km,12.4 km,27,51
168,"(3012, 'Kingsville')","(-37.81, 144.85)",Kingsville,3012,260,10.54193407,166,45,42,TRUE,10.2 km,9.5 km,24,37
169,"(3012, 'Kingsville West')","(-37.81, 144.85)",Kingsville West,3012,260,10.54193407,944,45,42,TRUE,10.2 km,9.5 km,24,37
170,"(3105, 'Bulleen South')","(-37.77, 145.08)",Bulleen South,3105,340,10.64028161,400,34,32,TRUE,14.5 km,14.2 km,25,37
171,"(3105, 'Bulleen')","(-37.77, 145.08)",Bulleen,3105,338,10.64028161,257,49,47,TRUE,16.5 km,16.3 km,26,55
172,"(3126, 'Canterbury')","(-37.84, 145.09)",Canterbury,3126,330,11.05509492,1002,34,41,TRUE,11.0 km,12.2 km,26,36
173,"(3126, 'Camberwell East')","(-37.84, 145.09)",Camberwell East,3126,330,11.05509492,1002,25,32,TRUE,10.3 km,11.5 km,24,27
174,"(3147, 'Ashburton')","(-37.86, 145.08)",Ashburton,3147,300,11.14583668,2008,39,59,TRUE,14.9 km,16.0 km,20,45
175,"(3147, 'Ashwood')","(-37.86, 145.08)",Ashwood,3147,300,11.14583668,2008,49,56,TRUE,17.9 km,15.2 km,25,52
177,"(3186, 'Brighton')","(-37.91, 144.99)",Brighton,3186,295,11.25727735,723,33,33,TRUE,12.8 km,12.8 km,29,34
178,"(3186, 'Brighton North')","(-37.91, 144.99)",Brighton North,3186,315,11.25727735,784,33,33,TRUE,12.8 km,12.7 km,29,33
179,"(3186, 'Were Street Po')","(-37.91, 144.99)",Were Street Po,3186,300,11.25727735,555,46,46,TRUE,16.1 km,16.1 km,33,45
180,"(3127, 'Mont Albert')","(-37.82, 145.1)",Mont Albert,3127,330,11.47366356,1002,51,50,TRUE,14.0 km,15.5 km,29,40
181,"(3127, 'Surrey Hills')","(-37.82, 145.1)",Surrey Hills,3127,240,11.47366356,704,35,42,TRUE,13.4 km,14.5 km,28,36
182,"(3127, 'Surrey Hills North')","(-37.82, 145.1)",Surrey Hills North,3127,240,11.47366356,704,35,42,TRUE,13.4 km,14.5 km,28,36
183,"(3163, 'Booran Road Po')","(-37.89, 145.06)",Booran Road Po,3163,300,11.89857192,81,36,50,TRUE,13.2 km,13.1 km,26,38
184,"(3163, 'Murrumbeena')","(-37.89, 145.06)",Murrumbeena,3163,300,11.89857192,360,42,50,TRUE,15.5 km,16.6 km,25,44
185,"(3163, 'Glen Huntly')","(-37.89, 145.06)",Glen Huntly,3163,300,11.89857192,759,31,30,TRUE,12.8 km,12.7 km,26,33
186,"(3163, 'Carnegie')","(-37.89, 145.06)",Carnegie,3163,300,11.89857192,759,31,37,TRUE,13.1 km,14.3 km,26,32
187,"(3353, 'Ballarat')","(-37.78, 144.84)",Ballarat,3353,288,11.89987718,112,99,98,TRUE,115 km,115 km,91,104
188,"(3086, 'La Trobe University')","(-37.72, 145.05)",La Trobe University,3086,330,12.23125259,412.5140736,49,56,TRUE,18.7 km,18.5 km,36,52
189,"(3085, 'Macleod West')","(-37.73, 145.07)",Macleod West,3085,330,12.50562459,328,49,69,TRUE,17.4 km,17.4 km,35,43
190,"(3085, 'Macleod')","(-37.73, 145.07)",Macleod,3085,330,12.50562459,328,49,69,TRUE,17.4 km,17.4 km,35,43
191,"(3085, 'Yallambie')","(-37.73, 145.07)",Yallambie,3085,330,12.50562459,116,74,79,TRUE,25.7 km,22.2 km,35,70
192,"(3107, 'Templestowe Lower')","(-37.76, 145.1)",Templestowe Lower,3107,340,12.70532713,558,43,41,TRUE,17.0 km,16.3 km,27,42
193,"(3046, 'Hadfield')","(-37.7, 144.92)",Hadfield,3046,285,12.9973509,428,63,53,TRUE,15.0 km,18.1 km,32,47
194,"(3046, 'Oak Park')","(-37.7, 144.92)",Oak Park,3046,285,12.9973509,191,38,40,TRUE,15.2 km,14.4 km,26,38
195,"(3046, 'Glenroy')","(-37.7, 144.92)",Glenroy,3046,285,12.9973509,1549,39,41,TRUE,16.7 km,15.9 km,27,40
